datetime,stock_code,open,high,low,close,volume,open_interest
2024-07-10 12:07:00,EMCPHA,1325.05,1385.0,1325.05,1359.15,14007559,
2024-07-11 12:07:00,EMCPHA,1354.35,1370.0,1341.15,1361.95,1200703,
2024-07-12 12:07:00,EMCPHA,1362.0,1373.35,1345.0,1362.45,882782,
2024-07-15 12:07:00,EMCPHA,1360.0,1408.7,1340.0,1374.75,1037827,
2024-07-16 12:07:00,EMCPHA,1380.0,1399.0,1360.0,1362.35,421306,
2024-07-18 12:07:00,EMCPHA,1360.05,1379.0,1349.5,1368.5,309066,
2024-07-19 12:07:00,EMCPHA,1365.05,1365.05,1341.1,1351.45,289152,
2024-07-22 12:07:00,EMCPHA,1341.0,1341.0,1305.2,1323.45,260396,
2024-07-23 12:07:00,EMCPHA,1320.0,1323.4,1261.05,1283.15,321841,
2024-07-24 12:07:00,EMCPHA,1294.95,1313.7,1285.25,1308.5,115886,
2024-07-25 12:07:00,EMCPHA,1270.05,1315.05,1270.05,1305.95,77559,
2024-07-26 12:07:00,EMCPHA,1310.95,1315.0,1285.7,1297.35,103355,
2024-07-29 12:07:00,EMCPHA,1310.0,1310.0,1282.5,1295.9,102054,
2024-07-30 12:07:00,EMCPHA,1285.0,1305.0,1285.0,1301.8,177736,
2024-07-31 12:07:00,EMCPHA,1302.25,1310.0,1299.95,1306.1,100240,
2024-08-01 12:08:00,EMCPHA,1311.0,1330.0,1302.85,1318.25,161028,
2024-08-02 12:08:00,EMCPHA,1290.0,1309.65,1281.05,1298.3,95697,
2024-08-05 12:08:00,EMCPHA,1261.0,1279.95,1231.65,1250.0,214960,
2024-08-06 12:08:00,EMCPHA,1251.0,1309.25,1235.0,1294.8,186401,
2024-08-07 12:08:00,EMCPHA,1300.0,1311.95,1288.0,1305.05,160161,
2024-08-08 12:08:00,EMCPHA,1300.0,1321.95,1280.5,1289.65,102065,
2024-08-09 12:08:00,EMCPHA,1295.0,1308.0,1272.0,1286.75,82452,
2024-08-12 12:08:00,EMCPHA,1280.0,1314.9,1267.25,1273.85,155206,
2024-08-13 12:08:00,EMCPHA,1286.5,1289.7,1225.0,1236.7,227263,
2024-08-14 12:08:00,EMCPHA,1263.0,1269.7,1226.6,1243.4,279561,
2024-08-16 12:08:00,EMCPHA,1250.95,1279.9,1247.0,1258.7,157716,
2024-08-19 12:08:00,EMCPHA,1264.95,1367.4,1259.65,1325.0,411065,
2024-08-20 12:08:00,EMCPHA,1328.95,1357.15,1305.5,1332.1,195390,
2024-08-21 12:08:00,EMCPHA,1339.0,1389.65,1328.0,1363.5,388054,
2024-08-22 12:08:00,EMCPHA,1369.75,1377.45,1351.15,1359.4,87048,
2024-08-23 12:08:00,EMCPHA,1368.9,1414.0,1357.05,1385.2,366974,
2024-08-26 12:08:00,EMCPHA,1421.25,1455.2,1391.0,1417.25,649487,
2024-08-27 12:08:00,EMCPHA,1425.0,1428.0,1382.0,1388.95,181716,
2024-08-28 12:08:00,EMCPHA,1390.0,1409.15,1372.0,1383.1,183453,
2024-08-29 12:08:00,EMCPHA,1395.0,1395.0,1359.5,1375.65,167615,
2024-08-30 12:08:00,EMCPHA,1390.0,1418.0,1375.65,1410.45,203892,
2024-09-02 12:09:00,EMCPHA,1412.05,1421.2,1382.0,1389.35,89656,
2024-09-03 12:09:00,EMCPHA,1389.0,1425.65,1377.4,1398.75,167765,
2024-09-04 12:09:00,EMCPHA,1385.0,1433.0,1385.0,1410.45,221566,
2024-09-05 12:09:00,EMCPHA,1419.9,1443.45,1399.7,1405.25,124791,
2024-09-06 12:09:00,EMCPHA,1415.0,1416.0,1385.0,1394.3,84378,
2024-09-09 12:09:00,EMCPHA,1381.0,1409.5,1381.0,1390.75,122848,
2024-09-10 12:09:00,EMCPHA,1391.5,1433.85,1382.4,1389.85,113090,
2024-09-11 12:09:00,EMCPHA,1415.0,1464.0,1396.75,1428.25,316323,
2024-09-12 12:09:00,EMCPHA,1440.0,1455.0,1420.05,1442.2,94895,
2024-09-13 12:09:00,EMCPHA,1442.25,1448.9,1414.0,1422.35,57444,
2024-09-16 12:09:00,EMCPHA,1450.0,1455.0,1410.0,1441.6,80349,
2024-09-17 12:09:00,EMCPHA,1454.8,1520.0,1439.25,1493.6,383720,
2024-09-18 12:09:00,EMCPHA,1525.0,1580.0,1523.6,1526.6,453956,
2024-09-19 12:09:00,EMCPHA,1531.0,1539.95,1441.05,1461.55,219260,
2024-09-20 12:09:00,EMCPHA,1470.1,1493.95,1439.0,1448.5,119194,
2024-09-23 12:09:00,EMCPHA,1451.0,1472.1,1433.0,1444.45,61021,
2024-09-24 12:09:00,EMCPHA,1444.45,1454.25,1426.0,1428.5,56568,
2024-09-25 12:09:00,EMCPHA,1445.0,1479.0,1426.5,1465.35,128527,
2024-09-26 12:09:00,EMCPHA,1475.6,1480.0,1402.05,1432.2,86691,
2024-09-27 12:09:00,EMCPHA,1448.2,1461.0,1434.8,1456.25,55882,
2024-09-30 12:09:00,EMCPHA,1456.25,1483.0,1444.7,1469.4,109932,
2024-10-01 12:10:00,EMCPHA,1468.85,1509.85,1451.35,1495.5,91225,
2024-10-03 12:10:00,EMCPHA,1463.1,1507.2,1456.0,1467.6,202372,
2024-10-04 12:10:00,EMCPHA,1465.0,1475.45,1420.0,1426.9,144357,
2024-10-07 12:10:00,EMCPHA,1403.0,1425.95,1324.05,1331.35,446466,
2024-10-08 12:10:00,EMCPHA,1326.7,1415.35,1324.2,1402.65,384652,
2024-10-09 12:10:00,EMCPHA,1405.0,1519.65,1394.6,1493.15,372952,
2024-10-10 12:10:00,EMCPHA,1480.0,1509.0,1448.15,1470.35,310941,
2024-10-11 12:10:00,EMCPHA,1460.05,1502.7,1455.75,1468.0,175240,
